KREIS	Gemeinde	Anlage	Inbetriebnahme	Leistung	Nabenhöhe	Rotordurchmesser	Ostwert	Nordwert	Status
Kiel	Kiel	0003 - WKA 3 Nordex N131		3000 kW Nennleist. Rotor.	134	131	32572497	6013607	im Gen.Verf.
Kiel	Kiel	0001 - WKA 1 Nordex N131		3000 kW Nennleist. Rotor.	134	131	32571605	6013660	im Gen.Verf.
Kiel	Kiel	0002 - WKA 2 Nordex N131		3000 kW Nennleist. Rotor.	134	131	32572117	6013490	im Gen.Verf.
Lübeck	Lübeck	0001 - WKA 	2012	2300 kW Nennleist. Rotor.	85	82	32619817	5978875	in Betrieb
Lübeck	Lübeck	0002 - WKA 	2012	2300 kW Nennleist. Rotor.	85	82	32619815	5977994	in Betrieb
Lübeck	Lübeck	0001 - WKA 	1996	600 kW Nennleist. Rotor.	50	43	32620847	5977577	in Betrieb
Dithmarschen	Albersdorf	0001 - WKA 1 Vestas V 112 3.3 MW G10/2013/012	2014	3300 kW Nennleist. Rotor.	119	112	32516648	5999295	in Betrieb
Dithmarschen	Albersdorf	0003 - WKA 3 Vestas V 112 3.3 MW G10/2013/014	2014	3300 kW Nennleist. Rotor.	119	112	32516709	5998672	in Betrieb
Dithmarschen	Albersdorf	0005 - WKA 5 Vestas V 112 3.3 MW G10/2013/016	2014	3300 kW Nennleist. Rotor.	119	112	32517034	5998625	in Betrieb
Dithmarschen	Albersdorf	0006 - WKA 6 Vestas V 112 3.3 MW G10/2014/016	2015	3300 kW Nennleist. Rotor.	94	112	32516771	5998370	in Betrieb
Dithmarschen	Albersdorf	0002 - WKA 2 Vestas V 112 3.3 MW G10/2013/013	2014	3300 kW Nennleist. Rotor.	119	112	32516599	5998975	in Betrieb
Dithmarschen	Albersdorf	0004 - WKA 4 Vestas V 112 3.3 MW G10/2013/015	2014	3300 kW Nennleist. Rotor.	119	112	32516928	5998977	in Betrieb
Dithmarschen	Barlt	0001 - WKA 1 Vestas V39 500kW	1993	500 kW Nennleist. Rotor.	40,5	39	32503055	5983581	in Betrieb
Dithmarschen	Barlt	0004 - WKA 4 G10/2011/035 REpower 3.4M 104	2012	3400 kW Nennleist. Rotor.	98	104	32501312	5984751	in Betrieb
Dithmarschen	Barlt	0003 - WKA 3 G10/2011/034 REpower 3.4M 104	2012	3400 kW Nennleist. Rotor.	98	104	32501310	5985045	in Betrieb
Dithmarschen	Barlt	0001 - WKA 1 G10/2011/032 REpower 3.4M 104	2012	3400 kW Nennleist. Rotor.	98	104	32500871	5984861	in Betrieb
Dithmarschen	Barlt	0002 - WKA 2 G10/2011/033 REpower 3.4M 104	2012	3400 kW Nennleist. Rotor.	98	104	32500950	5985172	in Betrieb
Dithmarschen	Barlt	0001 - WKA Typ V39	2000	500 kW Nennleist. Rotor.	40,5	39	32501836	5987733	in Betrieb
Dithmarschen	Barlt	0004 - WKA 4 G10/2013/111 Enercon E101	2015	3050 kW Nennleist. Rotor.	99	101	32503858	5983256	in Betrieb
Dithmarschen	Barlt	0003 - WKA 3 G10/2013/110 Enercon E101	2015	3050 kW Nennleist. Rotor.	99	101	32505006	5984301	in Betrieb
Dithmarschen	Barlt	0002 - WKA 2 G10/2013/109 Enercon E101	2015	3050 kW Nennleist. Rotor.	99	101	32505285	5984584	in Betrieb
Dithmarschen	Barlt	0005 - WKA 5 G10/2013/112 Enercon E101	2015	3050 kW Nennleist. Rotor.	99	101	32504280	5983200	in Betrieb
Dithmarschen	Barlt	0001 - WKA 1  G10/2013/108 Enercon E101	2015	3050 kW Nennleist. Rotor.	99	101	32504637	5984541	in Betrieb
Dithmarschen	Barlt	0001 - WKA G10/2013/125 REpower 3.2M114	2015	3200 kW Nennleist. Rotor.	93	114	32505189	5983955	in Betrieb
Dithmarschen	Barlt	0001 - WKA 1 G10/2013/126 REpower 3.2M114	2015	3200 kW Nennleist. Rotor.	93	114	32505721	5983498	in Betrieb
Dithmarschen	Barlt	0001 - WKA G10/2014/128 3.2M114	2016	3170 kW Nennleist. Rotor.	93	114	32500684	5985304	in Betrieb
Dithmarschen	Barlt	0002 - WKA 2 G10/2013/128 REpower 3.2M114	2015	3200 kW Nennleist. Rotor.	93	114	32504761	5983821	in Betrieb
Dithmarschen	Barlt	0001 - WKA 1 G10/2013/127 REpower 3.2M114	2015	3200 kW Nennleist. Rotor.	93	114	32504599	5984159	in Betrieb
Dithmarschen	Barlt	0003 - WKA 3 G10/2013/129 REpower 3.2M114	2015	3200 kW Nennleist. Rotor.	93	114	32504362	5983845	in Betrieb
Dithmarschen	Barlt	0004 - WKA 4 G10/2013/130 REpower 3.2M114	2015	3200 kW Nennleist. Rotor.	93	114	32504565	5983531	in Betrieb
Dithmarschen	Barlt	0006 - WKA 6 G10/2013/132 REpower 3.2M114	2015	3200 kW Nennleist. Rotor.	93	114	32505584	5983915	in Betrieb
Dithmarschen	Barlt	0007 - WKA 7 G10/2013/133 REpower 3.2M114	2015	3200 kW Nennleist. Rotor.	93	114	32505479	5984209	in Betrieb
Dithmarschen	Barlt	0005 - WKA 5 G10/2013/131 REpower 3.2M114	2015	3200 kW Nennleist. Rotor.	93	114	32504162	5983577	in Betrieb
Dithmarschen	Brunsbüttel	0001 - WKA 1 G10/2013/177 REpower 3.4 M104	2015	3400 kW Nennleist. Rotor.	80	104	32505375	5975134	in Betrieb
