"KREIS";"GEMEINDE";"TYP";"HERSTELLER";"NABENHOEHE";"ROTORDURCHMESSER";"SCHALLLEISTUNGSPEGEL";"LEISTUNG";"LEISTUNGSBEZUG";"OSTWERT";"NORDWERT";"GENEHMIGT_AM";"INBETRIEBNAHME";"STATUS";"BST_NR";"ANL_NR";"DATENDATUM";"DATENQUELLE"
"Kiel";"Kiel";"Nordex N131 - 3,0 MW";"Nordex";"134";"131";;3000;"kW Nennleist. Rotor.";32571605;6013660;;;"im Gen.Verf.";"02000000317";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Kiel";"Kiel";"Nordex N131 - 3,0 MW";"Nordex";"134";"131";;3000;"kW Nennleist. Rotor.";32572117;6013490;;;"im Gen.Verf.";"02000000317";"0002";"13.07.2021";"LLUR SH, Abtl. 7"
"Kiel";"Kiel";"Nordex N131 - 3,0 MW";"Nordex";"134";"131";;3000;"kW Nennleist. Rotor.";32572497;6013607;;;"im Gen.Verf.";"02000000317";"0003";"13.07.2021";"LLUR SH, Abtl. 7"
"Lübeck";"Lübeck";"Enercon E 82 E";"Enercon";"85";"82";"104,5 dB(A)";2300;"kW Nennleist. Rotor.";32619817;5978875;01.04.2011;25.09.2012;"in Betrieb";"03000924205";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Lübeck";"Lübeck";"Enercon E-82 E";"Enercon";"85";"82";"104,5";2300;"kW Nennleist. Rotor.";32619815;5977994;01.04.2011;25.09.2012;"in Betrieb";"03000924205";"0002";"13.07.2021";"LLUR SH, Abtl. 7"
"Lübeck";"Lübeck";"Tacke TW 600";"Tacke";"50";"43";"98,3";600;"kW Nennleist. Rotor.";32620847;5977577;16.04.1996;04.10.1996;"in Betrieb";"03000924233";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Albersdorf";"Vestas V112";"Vestas";"119";"112";"106,5 dB(A)/106,5 dB(A)";3450;"kW Nennleist. Rotor.";32516648;5999295;07.10.2013;11.06.2014;"in Betrieb";"51001900011";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Albersdorf";"Vestas V112";"Vestas";"119";"112";"106,5 dB(A)/106,5 dB(A)";3450;"kW Nennleist. Rotor.";32516599;5998975;07.10.2013;11.06.2014;"in Betrieb";"51001900011";"0002";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Albersdorf";"Vestas V112 3.3";"Vestas";"119";"112";"106,5 dB(A)/106,5 dB(A)";3450;"kW Nennleist. Rotor.";32516709;5998672;07.10.2013;11.06.2014;"in Betrieb";"51001900011";"0003";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Albersdorf";"Vestas  V112 3.3";"Vestas";"119";"112";"106,5 dB(A)/106,5 dB(A)";3450;"kW Nennleist. Rotor.";32516928;5998977;07.10.2013;11.06.2014;"in Betrieb";"51001900011";"0004";"13.07.2021";"LLUR SH, Abtl. 7"
