Kreis	Gemeinde	Typ	Hersteller	Nabenhöhe	Rotordurchmesser	Schallleistung	Leistung	Leistungsbezug	Ostwert	Nordwert	Genehmigt_am	Inbetriebnahme	Status	BST_Nr	ANL_Nr	Datendatum	Datenquelle	Status Art	Leistungseinheit	UTM Zone	Laengengrad_Dezimal	Breitengrad_Dezimal	Laengengrad	Breitenengrad
Kiel	Kiel	Nordex N131 - 3,0 MW	Nordex	134	131		3000	kW Nennleist. Rotor.	571605	6013660			im Gen.Verf.	02000000317	0001	3012023	LLUR SH, Abtl. 7	inaktiv		32	54.26586252806006	10.099418374070279	54:15:57.1	10:5:57.9
Kiel	Kiel	Nordex N131 - 3,0 MW	Nordex	134	131		3000	kW Nennleist. Rotor.	572117	6013490			im Gen.Verf.	02000000317	0002	3012023	LLUR SH, Abtl. 7	inaktiv		32	54.264263009077666	10.107237028681835	54:15:51.3	10:6:26.1
Kiel	Kiel	Nordex N131 - 3,0 MW	Nordex	134	131		3000	kW Nennleist. Rotor.	572497	6013607			im Gen.Verf.	02000000317	0003	3012023	LLUR SH, Abtl. 7	inaktiv		32	54.2652606393547	10.113098409646113	54:15:54.9	10:6:47.2
Lübeck	Lübeck	Enercon E 82 E	Enercon	78	82	104,5 dB(A)	2300	kW Nennleist. Rotor.	619817	5978875	1042011	25092012	in Betrieb	03000924205	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.94436417947088	10.825546259370325	53:56:39.7	10:49:32.0
Lübeck	Lübeck	Enercon E-82 E	Enercon	85	82	104,5	2300	kW Nennleist. Rotor.	619815	5977994	1042011	25092012	in Betrieb	03000924205	0002	3012023	LLUR SH, Abtl. 7	aktiv		32	53.93645022957827	10.825170211746958	53:56:11.2	10:49:30.6
Lübeck	Lübeck	Tacke TW 600	Tacke	50	43	98,3	600	kW Nennleist. Rotor.	620847	5977577	16041996	4101996	in Betrieb	03000924233	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.932464322286506	10.840717079286389	53:55:56.9	10:50:26.6
Dithmarschen	Albersdorf	WKA Enercon E-160 EP5 E3	Enercon	120	160	HZ /dB(A) | 63/81,2 | 125/87 | 250/92,2 | 500/96,2 | 1000/97 | 2000/94,9 | 4000/87,4 | 8000/ | SLP=101,8 dB(A); 108,5 dB(A)	5500	kW Nennleist. Rotor.	517045	5997104	20122021		vor Inbetriebnahme	51001000009	0001	3012023	LLUR SH, Abtl. 7	inaktiv		32	54.12179318076857	9.260794448632545	54:7:18.5	9:15:38.9
Dithmarschen	Albersdorf	Vestas V112	Vestas	119	112	106,5 dB(A)/106,5 dB(A)	3450	kW Nennleist. Rotor.	516648	5999295	7102013	11062014	in Betrieb	51001900011	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	54.14149808530626	9.25484110576169	54:8:29.4	9:15:17.4
Dithmarschen	Albersdorf	Vestas V112	Vestas	119	112	106,5 dB(A)/106,5 dB(A)	3450	kW Nennleist. Rotor.	516599	5998975	7102013	11062014	in Betrieb	51001900011	0002	3012023	LLUR SH, Abtl. 7	aktiv		32	54.13862363267012	9.254073436672721	54:8:19.0	9:15:14.7
Dithmarschen	Albersdorf	Vestas V112 3.3	Vestas	119	112	106,5 dB(A)/106,5 dB(A)	3450	kW Nennleist. Rotor.	516709	5998672	7102013	11062014	in Betrieb	51001900011	0003	3012023	LLUR SH, Abtl. 7	aktiv		32	54.13589681863641	9.255740362099356	54:8:9.2	9:15:20.7
